TIMESTAMP,DATE,MTU START (EEST),Installed Capacity MW,Max Producable MW (Rated),Availability MW,Max Produceable MW (Available),Availability %,Bid Capacity MW,Day Ahead Planned MW,Metered Production MW,Consumption MW,Net Export MW,Imbalance ,% Imbalance,Imbalance Sale MW,Imbalance Purchase MW
2025-11-11 04:15:00,2025-11-11,04:15:00,24.8,24.8,12.4,12.4,0.5,0.8,0.8,0.572,0.0,0.572,DEFICIT,-0.2850000000000001,0.0,0.228
2025-11-11 04:30:00,2025-11-11,04:30:00,24.8,24.8,12.4,12.4,0.5,0.8,0.8,0.624,0.0,0.624,DEFICIT,-0.22,0.0,0.176
2025-11-11 04:45:00,2025-11-11,04:45:00,24.8,24.8,12.4,12.4,0.5,0.8,0.8,0.588,0.0,0.588,DEFICIT,-0.265,0.0,0.212
2025-11-11 05:00:00,2025-11-11,05:00:00,24.8,24.8,12.4,12.4,0.5,0.8,0.8,0.54,0.0,0.54,DEFICIT,-0.325,0.0,0.26
2025-11-11 05:15:00,2025-11-11,05:15:00,24.8,24.8,12.4,12.4,0.5,0.9,0.9,0.516,0.0,0.516,DEFICIT,-0.4266666666666666,0.0,0.384
2025-11-11 05:30:00,2025-11-11,05:30:00,24.8,24.8,12.4,12.4,0.5,0.9,0.9,0.56,0.0,0.56,DEFICIT,-0.3777777777777777,0.0,0.34
2025-11-11 05:45:00,2025-11-11,05:45:00,24.8,24.8,12.4,12.4,0.5,0.9,0.9,0.74,0.0,0.74,DEFICIT,-0.1777777777777778,0.0,0.16
2025-11-11 06:00:00,2025-11-11,06:00:00,24.8,24.8,12.4,12.4,0.5,1.0,1.0,0.836,0.0,0.836,DEFICIT,-0.164,0.0,0.164
2025-11-11 06:15:00,2025-11-11,06:15:00,24.8,24.8,12.4,12.4,0.5,1.0,1.0,0.616,0.0,0.616,DEFICIT,-0.384,0.0,0.384
2025-11-11 06:30:00,2025-11-11,06:30:00,24.8,24.8,12.4,12.4,0.5,1.1,1.1,0.396,0.0,0.396,DEFICIT,-0.64,0.0,0.704
2025-11-11 06:45:00,2025-11-11,06:45:00,24.8,24.8,12.4,12.4,0.5,1.2,1.2,0.004,0.0,0.004,DEFICIT,-0.9966666666666668,0.0,1.196
2025-11-11 07:00:00,2025-11-11,07:00:00,24.8,24.8,12.4,12.4,0.5,1.3,1.3,0.008,0.0,0.008,DEFICIT,-0.9938461538461538,0.0,1.292
2025-11-11 07:15:00,2025-11-11,07:15:00,24.8,24.8,12.4,12.4,0.5,1.4,1.4,0.244,0.0,0.244,DEFICIT,-0.8257142857142857,0.0,1.156
2025-11-11 07:30:00,2025-11-11,07:30:00,24.8,24.8,12.4,12.4,0.5,1.5,1.5,0.792,0.0,0.792,DEFICIT,-0.472,0.0,0.708
2025-11-11 07:45:00,2025-11-11,07:45:00,24.8,24.8,12.4,12.4,0.5,1.6,1.6,1.252,0.0,1.252,DEFICIT,-0.2175,0.0,0.348
2025-11-11 08:00:00,2025-11-11,08:00:00,24.8,24.8,12.4,12.4,0.5,1.8,1.8,1.912,0.0,1.912,SURPLUS,0.0622222222222221,0.112,0.0
2025-11-11 08:15:00,2025-11-11,08:15:00,24.8,24.8,12.4,12.4,0.5,2.0,2.0,2.444,0.0,2.444,SURPLUS,0.2219999999999999,0.444,0.0
2025-11-11 08:30:00,2025-11-11,08:30:00,24.8,24.8,12.4,12.4,0.5,2.1,2.1,2.116,0.0,2.116,SURPLUS,0.0076190476190476,0.016,0.0
2025-11-11 08:45:00,2025-11-11,08:45:00,24.8,24.8,12.4,12.4,0.5,2.3,2.3,2.004,0.0,2.004,DEFICIT,-0.1286956521739129,0.0,0.296
2025-11-11 09:00:00,2025-11-11,09:00:00,24.8,24.8,12.4,12.4,0.5,2.5,2.5,2.076,0.0,2.076,DEFICIT,-0.1695999999999999,0.0,0.424
2025-11-11 09:15:00,2025-11-11,09:15:00,24.8,24.8,12.4,12.4,0.5,2.6,2.6,2.796,0.0,2.796,SURPLUS,0.0753846153846152,0.196,0.0
2025-11-11 09:30:00,2025-11-11,09:30:00,24.8,24.8,12.4,12.4,0.5,2.7,2.7,2.536,0.0,2.536,DEFICIT,-0.0607407407407407,0.0,0.164
2025-11-11 09:45:00,2025-11-11,09:45:00,24.8,24.8,12.4,12.4,0.5,2.9,2.9,3.056,0.0,3.056,SURPLUS,0.0537931034482759,0.156,0.0
2025-11-11 10:00:00,2025-11-11,10:00:00,24.8,24.8,12.4,12.4,0.5,3.0,3.0,3.764,0.0,3.764,SURPLUS,0.2546666666666666,0.764,0.0
2025-11-11 10:15:00,2025-11-11,10:15:00,24.8,24.8,12.4,12.4,0.5,3.2,3.2,3.956,0.0,3.956,SURPLUS,0.2362499999999999,0.756,0.0
2025-11-11 10:30:00,2025-11-11,10:30:00,24.8,24.8,12.4,12.4,0.5,3.3,3.3,3.852,0.0,3.852,SURPLUS,0.1672727272727273,0.552,0.0
2025-11-11 10:45:00,2025-11-11,10:45:00,24.8,24.8,12.4,12.4,0.5,3.5,3.5,4.388,0.0,4.388,SURPLUS,0.2537142857142856,0.888,0.0
2025-11-11 11:00:00,2025-11-11,11:00:00,24.8,24.8,12.4,12.4,0.5,3.6,3.6,4.056,0.0,4.056,SURPLUS,0.1266666666666666,0.456,0.0
2025-11-11 11:15:00,2025-11-11,11:15:00,24.8,24.8,12.4,12.4,0.5,3.8,3.8,4.456,0.0,4.456,SURPLUS,0.1726315789473685,0.656,0.0
2025-11-11 11:30:00,2025-11-11,11:30:00,24.8,24.8,12.4,12.4,0.5,4.1,4.1,6.088,0.0,6.088,SURPLUS,0.4848780487804879,1.988,0.0
2025-11-11 11:45:00,2025-11-11,11:45:00,24.8,24.8,12.4,12.4,0.5,4.3,4.3,6.104,0.0,6.104,SURPLUS,0.4195348837209303,1.804,0.0
2025-11-11 12:00:00,2025-11-11,12:00:00,24.8,24.8,12.4,12.4,0.5,4.5,4.5,5.792,0.0,5.792,SURPLUS,0.2871111111111111,1.292,0.0
2025-11-11 12:15:00,2025-11-11,12:15:00,24.8,24.8,12.4,12.4,0.5,4.6,4.6,6.684,0.0,6.684,SURPLUS,0.4530434782608697,2.084,0.0
2025-11-11 12:30:00,2025-11-11,12:30:00,24.8,24.8,12.4,12.4,0.5,4.8,4.8,6.82,0.0,6.82,SURPLUS,0.4208333333333334,2.02,0.0
2025-11-11 12:45:00,2025-11-11,12:45:00,24.8,24.8,12.4,12.4,0.5,5.0,5.0,7.464,0.0,7.464,SURPLUS,0.4928,2.464,0.0
2025-11-11 13:00:00,2025-11-11,13:00:00,24.8,24.8,12.4,12.4,0.5,5.2,5.2,8.724,0.0,8.724,SURPLUS,0.6776923076923077,3.524,0.0
2025-11-11 13:15:00,2025-11-11,13:15:00,24.8,24.8,12.4,12.4,0.5,5.3,5.3,9.164,0.0,9.164,SURPLUS,0.7290566037735849,3.864,0.0
2025-11-11 13:30:00,2025-11-11,13:30:00,24.8,24.8,12.4,12.4,0.5,5.5,5.5,10.624,0.0,10.624,SURPLUS,0.9316363636363636,5.124,0.0
2025-11-11 13:45:00,2025-11-11,13:45:00,24.8,24.8,12.4,12.4,0.5,5.7,5.7,10.836,0.0,10.836,SURPLUS,0.9010526315789472,5.136,0.0
2025-11-11 14:00:00,2025-11-11,14:00:00,24.8,24.8,12.4,12.4,0.5,5.9,5.9,11.268,0.0,11.268,SURPLUS,0.9098305084745762,5.368,0.0
2025-11-11 14:15:00,2025-11-11,14:15:00,24.8,24.8,12.4,12.4,0.5,6.0,6.0,10.508,0.0,10.508,SURPLUS,0.7513333333333332,4.508,0.0
2025-11-11 14:30:00,2025-11-11,14:30:00,24.8,24.8,12.4,12.4,0.5,6.2,6.2,8.652,0.0,8.652,SURPLUS,0.3954838709677418,2.452,0.0
2025-11-11 14:45:00,2025-11-11,14:45:00,24.8,24.8,12.4,12.4,0.5,6.4,6.4,7.856,0.0,7.856,SURPLUS,0.2274999999999999,1.456,0.0
2025-11-11 15:00:00,2025-11-11,15:00:00,24.8,24.8,12.4,12.4,0.5,6.6,6.6,8.348,0.0,8.348,SURPLUS,0.264848484848485,1.748,0.0
